standard,month,year,amount,data_citation,
telephone,8,2009,29,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,9,2010,324,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,9,2010,199,https://www.dhs.state.il.us/page.aspx?item=21871,
single,9,2010,43,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2011,331,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2011,250,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2011,56,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2011,28,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2012,345,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2012,265,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2012,59,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2013,380,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2013,226,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2013,50,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2014,370,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2014,280,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2014,62,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2014,32,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2015,364,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2015,258,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2015,58,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2015,27,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2016,388,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2016,285,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2016,64,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2016,30,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2017,394,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2017,306,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2017,70,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2017,28,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2018,466,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2018,319,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2018,72,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2018,30,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2019,478,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2019,328,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2019,74,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2020,496,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2020,356,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2020,81,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2020,31,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2021,529,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2021,341,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2021,59,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2021,44,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2022,626,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2022,412,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2022,66,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2022,81,https://www.dhs.state.il.us/page.aspx?item=21871,
ac_heat,10,2023,577,https://www.dhs.state.il.us/page.aspx?item=21871,
limited,10,2023,386,https://www.dhs.state.il.us/page.aspx?item=21871,
single,10,2023,62,https://www.dhs.state.il.us/page.aspx?item=21871,
telephone,10,2023,75,https://www.dhs.state.il.us/page.aspx?item=21871,